Round,Site,Global AUC,Local AUC
0,site-1,0.6171,0.6171
0,site-2,0.5803,0.5803
1,site-2,0.5803,0.5803
1,site-1,0.6171,0.6171
2,site-2,0.5803,0.5803
2,site-1,0.6171,0.6171
3,site-1,0.6171,0.6171
3,site-2,0.5803,0.5803
4,site-1,0.6171,0.6171
4,site-2,0.5803,0.5803
5,site-1,0.6171,0.6171
5,site-2,0.5803,0.5803
6,site-2,0.5803,0.5803
6,site-1,0.6171,0.6171
7,site-1,0.6171,0.6171
7,site-2,0.5803,0.5803
8,site-1,0.6171,0.6171
8,site-2,0.5803,0.5803
9,site-1,0.6171,0.6171
9,site-2,0.5803,0.5803
